age,canton,situation_maritale,nombre_enfants,taux_occupation,salaire_mensuel,loyer_mensuel,depenses_vitales,depenses_loisirs,a_credit,montant_credit_mensuel,score_sante_financiere,santé_financière
52,GR,marié,2,100,7793,3428,3083,2051,oui,1932,14,mauvaise
31,GL,marié,0,100,7498,1974,2043,1269,oui,872,88,bonne
33,SO,célibataire,0,100,7912,2653,2301,1640,non,0,85,moyenne
32,NW,célibataire,0,100,7406,3363,2993,2580,non,0,20,très_mauvaise
36,ZG,marié,0,100,9626,5571,3592,1990,non,0,28,mauvaise
58,GL,célibataire,0,80,6207,1894,1995,1069,oui,800,69,moyenne
57,LU,célibataire,0,80,7938,2996,2219,1652,non,0,84,moyenne
47,SG,marié,2,80,5345,2236,1883,1121,oui,1783,0,très_mauvaise
48,BE,marié,2,100,9994,2085,2335,1031,oui,913,100,très_bonne
61,AR,marié,2,80,6105,2439,2392,1599,oui,1688,5,mauvaise
59,SH,célibataire,0,80,5488,1319,1133,563,non,0,100,très_bonne
64,GR,marié,2,100,8355,3614,3082,1812,oui,1799,14,mauvaise
46,AI,célibataire,0,50,3664,968,1100,613,non,0,83,moyenne
51,TG,divorcé,1,100,7923,2689,2610,1736,oui,972,55,moyenne
59,VD,marié,4,100,8689,3724,2909,1476,non,0,70,moyenne
25,UR,marié,0,100,7228,2281,2070,1318,non,0,89,moyenne
59,GE,divorcé,0,80,8014,5118,3768,2052,non,0,14,très_mauvaise
61,TG,célibataire,0,100,8087,3353,3132,2152,oui,1576,14,mauvaise
38,OW,célibataire,1,100,6332,3135,2592,1427,oui,2140,0,très_mauvaise
27,OW,marié,0,100,7360,2138,2050,942,oui,844,95,bonne
25,JU,célibataire,1,50,2740,429,645,379,non,0,100,très_bonne
29,SO,marié,3,50,3969,1381,1361,1002,oui,1040,13,mauvaise
50,JU,célibataire,0,100,9079,2322,2953,1571,oui,1089,89,moyenne
38,SG,divorcé,2,80,6832,3782,3429,1538,oui,2060,0,très_mauvaise
63,NE,marié,1,100,8569,3267,2879,1699,oui,1947,40,mauvaise
51,LU,célibataire,1,100,7815,4507,3830,2384,oui,2098,0,très_mauvaise
33,BL,marié,1,100,7742,4124,3284,2376,oui,2086,0,très_mauvaise
39,VD,célibataire,0,100,6853,3292,2348,1760,non,0,38,mauvaise
39,LU,célibataire,0,50,3801,978,577,355,non,0,100,très_bonne
50,AI,marié,2,80,7205,1690,1027,849,oui,569,100,très_bonne
37,AR,marié,1,100,7875,1779,1518,1031,non,0,100,très_bonne
56,SO,marié,1,50,4069,851,799,448,non,0,100,très_bonne
63,GR,marié,3,100,6791,1940,1814,834,non,0,100,bonne
56,AR,célibataire,0,100,7636,2911,2484,2099,oui,1856,32,mauvaise
28,SZ,veuf,0,100,6903,2673,2184,1155,oui,1035,51,moyenne
54,AI,marié,0,100,7505,1800,1726,1257,oui,976,97,bonne
61,AI,célibataire,0,100,7450,2413,2261,1238,non,0,89,moyenne
47,SG,marié,1,50,4342,1253,1336,888,oui,697,68,moyenne
63,ZG,marié,0,100,11599,5731,4319,1928,non,0,56,moyenne
39,VS,célibataire,0,100,5738,1784,1815,820,non,0,96,moyenne
53,LU,célibataire,1,80,6698,2435,2467,1479,oui,1423,20,mauvaise
60,TG,célibataire,0,50,4620,1368,1490,675,oui,703,83,moyenne
37,BL,marié,3,100,7728,4367,3846,2211,oui,3032,0,très_mauvaise
56,VD,marié,0,100,7721,3934,3313,1540,oui,1562,12,mauvaise
31,LU,célibataire,0,100,8558,1864,1458,1011,non,0,100,très_bonne
46,NW,célibataire,1,50,4072,1188,1291,873,non,0,83,moyenne
52,OW,marié,2,80,6565,1873,1860,739,non,0,100,bonne
26,ZG,marié,0,100,7695,2912,2663,1300,non,0,80,bonne
30,BS,marié,1,100,7023,3525,3075,1671,non,0,20,mauvaise
52,AR,divorcé,0,100,8929,2652,1893,1119,non,0,100,bonne
52,TI,marié,2,100,7087,3340,3001,1968,oui,2721,0,très_mauvaise
44,TG,marié,1,100,7922,1558,1938,1054,non,0,100,très_bonne
54,LU,marié,1,100,8341,2616,2059,1082,non,0,100,bonne
35,FR,marié,2,80,6016,1160,1382,641,non,0,100,très_bonne
52,ZH,célibataire,0,80,5926,1762,1385,584,oui,253,100,très_bonne
49,AG,célibataire,0,100,7147,3149,2556,1783,oui,1625,10,mauvaise
63,AG,marié,0,80,7836,1914,1357,921,non,0,100,très_bonne
57,VS,célibataire,1,100,7506,2072,2112,1266,non,0,100,moyenne
25,VS,célibataire,1,80,5998,2200,2219,1465,oui,1412,20,mauvaise
51,BL,marié,4,80,7282,2585,2310,841,oui,884,68,bonne
37,BS,célibataire,1,100,8043,1991,1732,1075,non,0,100,très_bonne
65,ZH,célibataire,0,80,7667,4977,4352,1783,oui,2540,0,très_mauvaise
27,AG,marié,0,100,8595,2134,1640,777,non,0,100,très_bonne
63,NE,marié,2,80,7846,2770,2385,1559,non,0,85,moyenne
30,AI,célibataire,0,100,6973,3325,2857,1987,oui,1985,0,très_mauvaise
32,GE,divorcé,0,80,7047,2760,2907,1008,non,0,75,moyenne
51,VS,célibataire,0,80,7270,2011,1757,880,oui,720,100,bonne
33,VS,marié,3,80,5491,1849,1559,1111,non,0,76,moyenne
61,AR,célibataire,0,100,6362,1470,1606,761,non,0,100,bonne
57,AI,marié,1,80,6111,1293,1040,790,non,0,100,très_bonne
48,SO,célibataire,0,100,8681,1421,1610,809,non,0,100,très_bonne
39,NE,célibataire,1,80,7151,2575,2221,1329,oui,1331,46,mauvaise
56,OW,célibataire,1,50,4191,1110,1074,803,oui,521,83,moyenne
56,SO,marié,0,100,9608,4929,4278,3150,non,0,18,très_mauvaise
48,LU,marié,0,100,6419,1871,2103,1256,oui,935,76,moyenne
65,AR,célibataire,0,100,8490,1868,1696,1082,non,0,100,très_bonne
36,ZH,veuf,0,80,6339,2831,3048,1653,non,0,20,mauvaise
63,NW,célibataire,0,50,3690,1228,1216,755,non,0,68,moyenne
26,ZH,marié,4,100,7698,2371,1757,802,non,0,100,très_bonne
27,SG,célibataire,0,100,6020,1871,1479,848,oui,723,88,bonne
61,ZG,marié,2,50,5701,3467,3218,1521,non,0,10,très_mauvaise
41,JU,marié,2,100,7370,1905,2387,1576,oui,1457,63,moyenne
26,VS,marié,1,80,5218,1274,953,424,non,0,100,très_bonne
26,BL,célibataire,0,100,8813,2927,2907,1820,oui,1613,50,moyenne
52,SO,célibataire,0,50,4165,1394,1395,721,non,0,84,moyenne
47,TG,marié,0,100,8368,2205,2054,1363,oui,882,92,bonne
61,OW,célibataire,0,50,4773,1156,1314,631,non,0,100,bonne
56,ZH,marié,2,50,4509,1743,1654,980,non,0,60,moyenne
57,NW,célibataire,0,100,9901,5241,3453,2803,oui,2677,0,très_mauvaise
25,BS,célibataire,0,100,8901,3189,2505,1135,oui,1398,72,bonne
43,VD,célibataire,0,100,9350,2564,2472,862,non,0,100,très_bonne
26,TG,divorcé,0,50,3563,856,754,443,non,0,100,très_bonne
50,VS,marié,4,100,7069,2101,2212,1222,non,0,96,moyenne
56,AG,marié,0,100,7349,2650,2435,1398,oui,1074,51,moyenne
30,SG,célibataire,0,100,6874,2629,2670,1469,oui,1832,5,mauvaise
56,UR,marié,2,50,3780,1627,1757,1254,oui,1172,0,très_mauvaise
28,LU,marié,0,80,5043,1203,785,521,non,0,100,très_bonne
35,ZH,marié,2,100,8784,6290,4519,2072,oui,3350,0,très_mauvaise
41,GR,célibataire,0,100,6614,2988,2188,1200,non,0,66,mauvaise
62,TI,veuf,0,100,9437,2663,2303,1164,non,0,100,bonne
48,AR,marié,1,80,6187,1661,1296,738,oui,840,95,bonne
29,GL,divorcé,1,100,7094,1906,1790,1097,non,0,100,bonne
58,ZH,célibataire,0,100,10199,4002,3151,1610,non,0,89,bonne
30,TG,célibataire,0,100,7347,2056,2354,1411,non,0,96,moyenne
46,SH,célibataire,0,100,6917,2899,2482,1911,non,0,40,mauvaise
35,UR,marié,2,80,6464,1166,1055,759,non,0,100,très_bonne
40,SZ,célibataire,0,80,8016,1932,1355,881,non,0,100,très_bonne
57,VS,marié,3,80,4957,1448,1215,916,oui,663,83,moyenne
33,BL,marié,2,100,8999,2863,3102,1672,non,0,93,moyenne
30,NE,marié,3,100,6076,2681,2057,1098,oui,1615,11,mauvaise
40,AR,marié,1,80,5400,1619,1494,774,non,0,100,moyenne
53,OW,marié,4,100,9088,2300,1999,1275,non,0,100,bonne
27,ZH,marié,3,100,8484,3924,3575,1804,oui,2302,0,mauvaise
44,VS,marié,0,80,6594,2329,2056,1160,oui,899,61,moyenne
60,AG,marié,1,100,8107,2436,2410,1554,oui,1585,68,moyenne
43,BL,divorcé,1,100,8811,1868,1586,794,non,0,100,très_bonne
50,OW,célibataire,0,50,3363,1086,1021,721,oui,631,38,mauvaise
27,AR,divorcé,0,50,2877,850,736,340,non,0,97,bonne
43,AI,célibataire,0,50,3255,1319,1071,632,oui,630,28,mauvaise
44,NE,célibataire,1,100,7783,4587,3181,2114,oui,2801,0,très_mauvaise
56,VS,célibataire,0,80,5214,1358,1468,620,non,0,100,bonne
31,AI,célibataire,0,100,7234,1931,1833,1396,non,0,100,moyenne
65,FR,marié,3,100,8915,2979,2500,1249,oui,1493,80,moyenne
57,VD,divorcé,2,100,9586,2961,2418,1532,non,0,100,bonne
64,ZG,marié,0,100,12284,3285,2259,1333,non,0,100,très_bonne
63,ZG,veuf,0,100,8184,3189,2326,958,non,0,92,bonne
42,SG,célibataire,0,80,5560,1208,842,567,non,0,100,très_bonne
64,SG,célibataire,0,80,7228,3086,2810,1821,non,0,40,mauvaise
25,SG,marié,2,50,2791,764,828,336,non,0,90,bonne
35,NE,marié,2,100,8271,3709,3346,2048,non,0,34,mauvaise
52,BS,célibataire,0,100,8408,4576,4744,2912,oui,2689,0,très_mauvaise
49,BL,veuf,0,100,8379,4771,4463,2217,non,0,14,très_mauvaise
47,BS,marié,0,100,9500,3624,2862,1279,non,0,96,bonne
55,SH,veuf,0,80,5668,2373,1695,1383,oui,1135,18,mauvaise
54,FR,marié,2,100,7831,2671,3212,2014,non,0,62,mauvaise
59,VS,marié,1,80,7579,2506,2055,1520,non,0,92,moyenne
31,AG,marié,1,50,3324,925,892,444,oui,380,82,bonne
40,BE,marié,2,100,7061,2736,2368,1201,non,0,76,moyenne
50,UR,célibataire,1,100,7208,1909,1787,845,non,0,100,bonne
26,AG,divorcé,2,50,2949,552,674,289,oui,236,100,très_bonne
25,NW,divorcé,0,100,7872,1684,1863,1030,non,0,100,très_bonne
36,JU,célibataire,0,100,7742,2629,2768,2150,non,0,72,mauvaise
29,AR,célibataire,1,50,3214,746,710,264,non,0,100,très_bonne
61,AR,marié,2,80,7643,2586,2418,1865,oui,1891,40,mauvaise
56,NE,marié,3,100,7253,2071,2113,1144,oui,1022,76,bonne
33,OW,marié,2,100,6676,1585,1141,722,non,0,100,très_bonne
65,LU,célibataire,0,80,7078,2196,2415,1340,non,0,89,moyenne
59,OW,marié,1,80,6790,1597,1427,913,non,0,100,bonne
43,AI,marié,2,100,8454,1901,1661,724,oui,749,100,très_bonne
40,BE,célibataire,0,100,6874,1290,1595,550,non,0,100,très_bonne
27,NW,marié,2,100,6155,1839,1611,1244,oui,820,75,moyenne
44,SO,célibataire,0,50,3054,765,662,368,non,0,100,très_bonne
48,JU,célibataire,1,100,7282,2819,2761,1355,non,0,68,mauvaise
57,NW,marié,3,100,9130,2864,2663,1888,non,0,89,moyenne
48,UR,veuf,0,100,6354,1671,1796,979,non,0,96,bonne
35,NE,célibataire,0,100,8227,1817,1731,1008,non,0,100,très_bonne
32,TG,marié,2,100,7851,4394,3097,2547,oui,3144,0,très_mauvaise
60,NW,célibataire,0,100,8804,2167,1660,756,non,0,100,très_bonne
62,UR,célibataire,0,100,8922,1889,1885,729,non,0,100,très_bonne
64,BS,marié,2,100,8581,2089,1810,1153,non,0,100,très_bonne
44,SZ,marié,1,100,8925,4442,3795,2443,oui,3098,0,très_mauvaise
59,VS,célibataire,0,100,6948,2089,1949,1014,oui,580,88,bonne
49,JU,divorcé,1,100,7929,2550,2478,1417,oui,992,73,moyenne
59,AG,célibataire,0,50,3448,1637,1290,777,oui,967,0,très_mauvaise
49,JU,divorcé,2,80,6503,1189,1405,582,oui,235,100,très_bonne
53,SZ,divorcé,0,50,5307,2365,2077,1468,non,0,30,mauvaise
42,AG,marié,3,80,5228,2039,2083,1288,oui,1362,5,mauvaise
42,TI,célibataire,1,50,3721,2261,1784,1002,oui,1478,0,très_mauvaise
26,LU,marié,2,100,6925,2391,2570,1309,oui,1627,36,mauvaise
59,JU,marié,0,100,7380,2058,1767,1192,oui,1057,88,moyenne
40,SO,divorcé,0,80,6253,1387,1397,570,non,0,100,très_bonne
65,NW,marié,2,100,8290,1583,1610,902,non,0,100,très_bonne
60,SG,marié,2,80,6842,2285,2381,1401,oui,1113,51,moyenne
57,GE,marié,0,100,8610,3939,3319,1250,oui,1038,34,moyenne
28,ZG,veuf,0,80,6473,3658,2703,1534,oui,1223,0,mauvaise
57,TI,marié,2,80,5402,2115,1678,937,non,0,76,moyenne
38,ZG,divorcé,0,100,7278,2402,1864,645,oui,219,100,très_bonne
45,FR,marié,0,100,6952,2496,2188,1451,oui,1330,28,mauvaise
44,BL,marié,2,100,7299,3276,3031,1993,oui,1396,10,mauvaise
32,AR,marié,1,100,7160,1701,1621,908,non,0,100,très_bonne
31,VD,marié,0,80,6905,2347,2252,1347,oui,1334,54,moyenne
27,SZ,célibataire,0,100,6560,2552,2168,1458,oui,1243,28,mauvaise
41,LU,marié,0,50,4259,1125,1128,594,non,0,100,bonne
57,GL,marié,2,80,7284,3081,3055,2533,oui,1912,0,très_mauvaise
36,TG,célibataire,0,80,6343,1285,1516,726,non,0,100,très_bonne
46,FR,célibataire,0,100,8974,2730,2724,1863,non,0,85,moyenne
46,BL,marié,0,100,7713,2512,2120,1304,oui,1090,80,bonne
54,LU,marié,3,80,5197,1779,1523,1106,oui,967,46,moyenne
62,VD,célibataire,0,80,7802,3550,2869,1495,oui,1405,22,mauvaise
62,GL,marié,0,100,7084,2144,2339,1391,oui,1215,59,moyenne
32,ZG,divorcé,2,50,4329,2361,1914,841,non,0,28,mauvaise
51,VD,marié,3,100,8833,4315,3305,1698,oui,2422,7,mauvaise
51,TI,célibataire,0,100,7854,2512,2575,1369,oui,1516,58,moyenne
58,BS,divorcé,1,100,10179,4714,3920,2079,oui,2382,18,mauvaise
45,SO,divorcé,1,80,4936,1297,1255,723,non,0,100,bonne
54,BE,célibataire,0,100,6785,2235,1967,1232,oui,857,69,moyenne
57,GR,célibataire,0,100,8947,3761,3637,1709,oui,2150,22,mauvaise
52,ZG,marié,2,80,6257,3716,2919,1278,oui,1216,0,mauvaise
57,BE,marié,3,80,7992,1517,2017,1036,non,0,100,très_bonne
29,BE,célibataire,0,80,6383,3186,2783,1484,oui,1941,0,très_mauvaise
43,LU,marié,1,80,5766,1642,1671,824,non,0,100,bonne
28,AI,marié,0,100,7733,2560,2889,1893,oui,1460,32,mauvaise
59,AG,divorcé,1,80,6984,2512,2779,1909,oui,1564,20,mauvaise
41,UR,marié,2,100,7194,1626,1633,1197,oui,915,93,bonne
52,VS,marié,2,100,8110,1954,1381,1081,non,0,100,très_bonne
54,GE,divorcé,0,80,9011,3479,2468,1019,non,0,100,bonne
53,GR,célibataire,0,80,5326,1562,1424,714,non,0,100,bonne
30,TG,célibataire,1,100,6966,1900,2246,1185,oui,1013,76,moyenne
59,GE,marié,1,100,10261,5036,3267,1923,oui,1939,34,moyenne
65,GR,célibataire,1,100,9943,3474,3133,2012,oui,1237,69,moyenne
61,FR,marié,0,100,8909,4538,3280,2066,oui,3336,0,très_mauvaise
48,SO,célibataire,0,100,7782,2134,2545,1491,non,0,100,moyenne
53,SG,célibataire,0,50,4776,1719,1770,1222,oui,1091,20,mauvaise
55,JU,divorcé,0,100,9134,2518,2735,1987,oui,1434,76,moyenne
59,NE,marié,1,100,9960,2872,3117,1716,non,0,100,moyenne
57,GE,marié,1,80,7194,2032,1740,724,non,0,100,très_bonne
45,VS,célibataire,0,50,3464,1218,965,734,oui,602,42,moyenne
56,NE,célibataire,0,100,9030,2316,2379,1000,non,0,100,bonne
47,TG,marié,1,100,7762,2074,2421,1636,non,0,92,moyenne
57,AI,marié,2,100,6619,1736,1752,1046,oui,679,88,bonne
27,TG,marié,2,100,8038,2766,2810,2006,non,0,80,mauvaise
42,BL,célibataire,0,100,8002,3532,3172,1627,oui,1788,14,mauvaise
49,BE,marié,4,80,5313,1598,1519,961,non,0,89,moyenne
55,NE,marié,0,100,9764,2952,2794,1601,non,0,100,bonne
27,BE,marié,2,50,3777,1221,873,562,non,0,95,bonne
64,GE,marié,1,80,8511,4087,2653,1787,oui,1028,27,moyenne
48,SH,marié,1,100,7495,2445,3046,1561,oui,1545,28,mauvaise
56,UR,marié,2,100,7075,1597,1769,785,non,0,100,bonne
46,SG,marié,2,100,8677,1756,2143,1101,oui,855,100,très_bonne
47,BL,marié,4,100,9692,4523,3961,2330,non,0,38,mauvaise
26,UR,célibataire,0,100,6614,1545,1530,876,oui,545,100,bonne
51,LU,célibataire,0,100,6569,2250,2506,1619,oui,1389,28,mauvaise
26,BS,divorcé,0,50,3577,886,731,462,non,0,100,très_bonne
50,VD,célibataire,1,100,7537,2587,2718,1357,oui,935,55,moyenne
41,VS,célibataire,0,50,3774,1307,1126,847,oui,744,38,mauvaise
64,GL,marié,2,100,8588,3560,2884,1909,oui,3074,7,très_mauvaise
57,BE,marié,0,100,9960,2645,3098,1407,oui,1088,96,bonne
33,OW,marié,1,50,2821,745,906,418,oui,473,75,moyenne
63,VD,marié,2,50,4345,1628,1229,623,non,0,83,moyenne
53,FR,veuf,0,100,7547,2112,1997,1118,oui,1390,89,moyenne
50,BS,marié,2,80,6812,2712,2379,1341,non,0,76,moyenne
59,TI,marié,1,100,8070,1838,1672,806,non,0,100,très_bonne
49,FR,célibataire,0,100,7692,1467,1357,821,non,0,100,très_bonne
48,FR,célibataire,1,80,5525,2294,2095,1139,oui,1037,10,mauvaise
37,VS,marié,2,100,8215,2814,2318,1190,non,0,100,moyenne
31,LU,célibataire,1,100,6480,2920,2350,1629,oui,1184,10,mauvaise
60,TG,célibataire,0,50,3341,1169,953,516,non,0,76,moyenne
44,FR,célibataire,0,100,8781,2244,2286,1095,non,0,100,bonne
25,ZG,marié,3,80,5547,2338,1885,1059,oui,876,31,moyenne
32,TG,marié,2,100,7269,2986,2587,1404,oui,1980,3,mauvaise
40,AG,marié,2,100,9271,1732,2087,881,non,0,100,très_bonne
38,SH,célibataire,0,80,4881,2308,2159,1600,non,0,20,très_mauvaise
36,BE,marié,4,50,3378,934,758,403,non,0,100,très_bonne
47,SZ,célibataire,0,100,7976,3432,3502,1449,non,0,52,mauvaise
39,TG,marié,2,50,4219,1453,1648,898,oui,948,28,mauvaise
52,GL,marié,0,80,5087,2021,1766,1160,non,0,68,mauvaise
58,NW,marié,0,100,7673,1636,1791,771,non,0,100,très_bonne
26,OW,divorcé,0,80,5372,893,786,664,non,0,100,très_bonne
56,SO,marié,2,100,9087,2265,2363,1050,non,0,100,bonne
47,BS,marié,1,80,7807,3363,2629,1159,non,0,77,moyenne
46,GR,divorcé,0,100,7050,2612,2501,1061,oui,1352,38,moyenne
49,AG,marié,3,80,7541,2568,2554,1617,non,0,80,moyenne
46,FR,marié,3,80,6594,1432,1082,700,non,0,100,très_bonne
46,GE,marié,1,100,9632,2523,2785,1223,oui,520,100,très_bonne
30,GE,marié,2,100,10232,3925,3352,1187,oui,1540,76,bonne
39,TI,marié,2,100,7185,2748,1892,1388,oui,1357,53,moyenne
61,SH,célibataire,0,80,7795,3035,2425,1768,oui,2050,17,mauvaise
57,LU,marié,1,100,8094,3075,3022,1980,non,0,64,mauvaise
32,GR,divorcé,0,100,8306,3069,2649,1511,non,0,85,moyenne
29,NE,marié,2,100,6565,2812,2368,1262,non,0,58,mauvaise
63,AR,célibataire,0,100,8539,3385,3460,2330,oui,3119,9,très_mauvaise
28,OW,marié,2,100,5874,1514,1838,1283,non,0,88,moyenne
30,FR,marié,2,100,7040,2236,2366,1292,oui,1226,59,moyenne
56,BS,divorcé,1,100,9086,3783,3281,1952,oui,1469,23,moyenne
54,NW,marié,0,100,9084,4390,4064,2930,oui,2901,0,très_mauvaise
59,SG,marié,2,50,3598,1266,1185,717,oui,599,43,moyenne
64,ZH,divorcé,0,50,4118,1427,1207,463,oui,602,76,bonne
40,JU,célibataire,1,50,4304,776,657,585,non,0,100,très_bonne
